date,symbol,ret
2025-03-04,AAPL,
2025-03-05,AAPL,-0.000805297297409524
2025-03-06,AAPL,-0.0017391917687868963
2025-03-07,AAPL,0.015892618029543115
2025-03-10,AAPL,-0.04847960193409895
2025-03-11,AAPL,-0.029189307576519163
2025-03-12,AAPL,-0.017478794721086155
2025-03-13,AAPL,-0.03364362421842482
2025-03-14,AAPL,0.018170600884615862
2025-03-17,AAPL,0.0023888377184630993
2025-03-18,AAPL,-0.006121524714690185
2025-03-19,AAPL,0.011989259503216054
2025-03-20,AAPL,-0.005296311389961117
2025-03-21,AAPL,0.019476821228993524
2025-03-24,AAPL,0.01127043423393781
2025-03-25,AAPL,0.013681926441879266
2025-03-26,AAPL,-0.009921916468981329
2025-03-27,AAPL,0.010472666089927918
2025-03-28,AAPL,-0.02658027683405173
2025-03-31,AAPL,0.019412605542204586
2025-04-01,AAPL,0.004771951175297495
2025-04-02,AAPL,0.00313635061160511
2025-04-03,AAPL,-0.09245610910922164
2025-04-04,AAPL,-0.07288740460316123
2025-04-07,AAPL,-0.03673428915114274
2025-04-08,AAPL,-0.04981818543870231
2025-04-09,AAPL,0.15328851458133852
2025-04-10,AAPL,-0.04239370658828934
2025-04-11,AAPL,0.04059432148267916
2025-04-14,AAPL,0.02205412997037559
2025-04-15,AAPL,-0.0018763720389342042
2025-04-16,AAPL,-0.03893343751718448
2025-04-17,AAPL,0.013949632775603904
2025-04-21,AAPL,-0.019392881061038092
2025-04-22,AAPL,0.03406515943944233
2025-04-23,AAPL,0.024331664923032736
2025-04-24,AAPL,0.018426065698558647
2025-04-25,AAPL,0.004367266581964069
2025-04-28,AAPL,0.004109335285442661
2025-04-29,AAPL,0.005091803503481929
2025-04-30,AAPL,0.006107713788649161
2025-05-01,AAPL,0.0038588679064202047
2025-05-02,AAPL,-0.03736171359938467
2025-05-05,AAPL,-0.03145849867088735
2025-05-06,AAPL,-0.0019106952436467317
2025-05-07,AAPL,-0.011384769833375663
2025-05-08,AAPL,0.0063184946335548275
2025-05-09,AAPL,0.005266076204561099
2025-05-12,AAPL,0.0631462266329994
2025-05-13,AAPL,0.010152256278603833
2025-05-14,AAPL,-0.0028178284904083473
2025-05-15,AAPL,-0.004144455183460405
2025-05-16,AAPL,-0.0008985807760553133
2025-05-19,AAPL,-0.011739103087880398
2025-05-20,AAPL,-0.009196227967492532
2025-05-21,AAPL,-0.023059151208633444
2025-05-22,AAPL,-0.003612269777481525
2025-05-23,AAPL,-0.03024421041472658
2025-05-27,AAPL,0.0252982519087801
2025-05-28,AAPL,0.0010488493588676207
2025-05-29,AAPL,-0.002345059699954133
2025-05-30,AAPL,0.004501165153201203
2025-06-02,AAPL,0.0042319709002895944
2025-06-03,AAPL,0.007783811173800226
2025-06-04,AAPL,-0.002213711137626917
2025-06-05,AAPL,-0.010797728543074925
2025-06-06,AAPL,0.016398234140678536
2025-06-09,AAPL,-0.012112531599563048
2025-06-10,AAPL,0.006056021902935083
2025-06-11,AAPL,-0.01919373183369144
2025-06-12,AAPL,0.0021128663073402
2025-06-13,AAPL,-0.013805194198080128
2025-06-16,AAPL,0.010028022576847206
2025-06-17,AAPL,-0.014010737856372857
2025-06-18,AAPL,0.004804711390223648
2025-06-20,AAPL,0.022484522595249024
2025-06-23,AAPL,0.002487626530422782
2025-06-24,AAPL,-0.0059553368706062315
2025-06-25,AAPL,0.006290573788700682
2025-06-26,AAPL,-0.0027784006959959973
2025-06-27,AAPL,0.0003980202448676806
2025-06-30,AAPL,0.020340156705265455
2025-07-01,AAPL,0.01291615425542747
2025-07-02,AAPL,0.022230762139012317
2025-07-03,AAPL,0.00522506774348952
2025-07-07,AAPL,-0.016857955249283796
2025-07-08,AAPL,0.00028578971805215403
2025-07-09,AAPL,0.00538068961510163
2025-07-10,AAPL,0.006014977043711456
2025-07-11,AAPL,-0.005884853456365136
2025-07-14,AAPL,-0.01202881464197092
2025-07-15,AAPL,0.0023488288655426626
2025-07-16,AAPL,0.00502133715468478
2025-07-17,AAPL,-0.0006662490332222104
2025-07-18,AAPL,0.005523280640275852
2025-07-21,AAPL,0.006155827878369324
2025-07-22,AAPL,0.0090362347501034
2025-07-23,AAPL,-0.001166074880693091
2025-07-24,AAPL,-0.0018212004700020046
2025-07-25,AAPL,0.0005614633154649162
2025-07-28,AAPL,0.0007948587409902785
2025-07-29,AAPL,-0.012987668901023652
2025-07-30,AAPL,-0.010507862911703691
2025-07-31,AAPL,-0.007079609380583052
2025-08-01,AAPL,-0.025003594915492977
2025-08-04,AAPL,0.004792936108565904
2025-08-05,AAPL,-0.0021146353111312077
2025-08-06,AAPL,0.05090679602505532
2025-08-07,AAPL,0.031793629657992595
2025-08-08,AAPL,0.04235791290787305
2025-08-11,AAPL,-0.008337431911761617
2025-08-12,AAPL,0.010872426196794072
2025-08-13,AAPL,0.016024457949132653
2025-08-14,AAPL,-0.0023571835446725142
2025-08-15,AAPL,-0.005112168105708581
2025-08-18,AAPL,-0.0030225322092916063
2025-08-19,AAPL,-0.001429256279357305
2025-08-20,AAPL,-0.019734624185850147
2025-08-21,AAPL,-0.004911252928377019
2025-08-22,AAPL,0.012716733406805902
2025-08-25,AAPL,-0.002634317288807808
2025-08-26,AAPL,0.00946469850209164
2025-08-27,AAPL,0.005145899965004919
2025-08-28,AAPL,0.008980857430412437
2025-08-29,AAPL,-0.0018060207961334562
2025-09-02,AAPL,-0.010424709383172748
2025-09-03,AAPL,0.038089871578786294
2025-09-04,AAPL,0.005493288226302795
2025-09-05,AAPL,-0.00037531045761318715
