id,date_utc,url,user,content_raw,content_clean,sent_compound,sent_pos,sent_neg,sent_neu
1972822689103675714,2025-09-30 00:35:57+00:00,https://x.com/trump_repost/status/1972822689103675714,trump_repost,https://t.co/aQgsY2zZYz,,0.0,0.0,0.0,0.0
1972871862213587010,2025-09-30 03:51:20+00:00,https://x.com/trump_repost/status/1972871862213587010,trump_repost,https://t.co/tBfuC6HVU0,,0.0,0.0,0.0,0.0
1973066947882578107,2025-09-30 16:46:32+00:00,https://x.com/trump_repost/status/1973066947882578107,trump_repost,https://t.co/vFQ0oSi9UA,,0.0,0.0,0.0,0.0
1973123739685626276,2025-09-30 20:32:13+00:00,https://x.com/trump_repost/status/1973123739685626276,trump_repost,"""President Donald J. Trump Announces First Deal to Bring Most-Favored-Nation Pricing to American Patients"" https://t.co/oA4yBARWDr https://t.co/9PfvVcZEo5",President Donald J Trump Announces First Deal to Bring Most Favored Nation Pricing to American Patients,0.4754,0.181,0.0,0.819
1973164181206737223,2025-09-30 23:12:55+00:00,https://x.com/trump_repost/status/1973164181206737223,trump_repost,RT @narendramodi: We welcome President Donald J. Trump’s announcement of  a comprehensive plan to end the Gaza conflict. It provides a viab…,RT We welcome President Donald J Trump s announcement of a comprehensive plan to end the Gaza conflict It provides a viab,0.4019,0.224,0.103,0.673
1973183959275368845,2025-10-01 00:31:30+00:00,https://x.com/trump_repost/status/1973183959275368845,trump_repost,https://t.co/y3NGHXCEnt,,0.0,0.0,0.0,0.0
1973184037809430584,2025-10-01 00:31:49+00:00,https://x.com/trump_repost/status/1973184037809430584,trump_repost,https://t.co/Z30eqNAFNm,,0.0,0.0,0.0,0.0
1973184116993696205,2025-10-01 00:32:08+00:00,https://x.com/trump_repost/status/1973184116993696205,trump_repost,https://t.co/xxia9y4jbu,,0.0,0.0,0.0,0.0
1973184402277732476,2025-10-01 00:33:16+00:00,https://x.com/trump_repost/status/1973184402277732476,trump_repost,https://t.co/qrCWns4jQK,,0.0,0.0,0.0,0.0
1973378664160174517,2025-10-01 13:25:11+00:00,https://x.com/trump_repost/status/1973378664160174517,trump_repost,I was there to see it all. Total Scum!!! President DJT https://t.co/UNPKPb4c7Y,I was there to see it all Total Scum President DJT,0.0,0.0,0.0,1.0
1973378744237826441,2025-10-01 13:25:30+00:00,https://x.com/trump_repost/status/1973378744237826441,trump_repost,https://t.co/xcLinYoo1o,,0.0,0.0,0.0,0.0
1973442875301191758,2025-10-01 17:40:20+00:00,https://x.com/trump_repost/status/1973442875301191758,trump_repost,"As I determined on September 27th, when I activated and called into service the National Guard in Oregon, conditions continue to deteriorate into lawless mayhem. Our GREAT Federal Law Enforcement Officers have not been able to enforce the Laws in Oregon. ANTIFA and the Radical Left Anarchists have been viciously attacking our Federal Law Enforcement Officers, men and women who are simply doing their job, protecting Federal Property, and enforcing Federal Immigration Laws and the Rule of Law. We will never allow MOBS to take over our streets, burn our Cities, or destroy America. The National Guard is now in place, and has been dedicated to restoring LAW AND ORDER, and ending the Chaos, Death, and Destruction! We are a Nation of LAW, and we will PREVAIL. Thank you for your attention to this matter! President DJT",As I determined on September 27th when I activated and called into service the National Guard in Oregon conditions continue to deteriorate into lawless mayhem Our GREAT Federal Law Enforcement Officers have not been able to enforce the Laws in Oregon ANTIFA and the Radical Left Anarchists have been viciously attacking our Federal Law Enforcement Officers men and women who are simply doing their job protecting Federal Property and enforcing Federal Immigration Laws and the Rule of Law We will never allow MOBS to take over our streets burn our Cities or destroy America The National Guard is now in place and has been dedicated to restoring LAW AND ORDER and ending the Chaos Death and Destruction We are a Nation of LAW and we will PREVAIL Thank you for your attention to this matter President DJT,-0.7723,0.101,0.137,0.762
1973442901704352100,2025-10-01 17:40:27+00:00,https://x.com/trump_repost/status/1973442901704352100,trump_repost,"The Governor of Oregon must be living in a ""Dream World."" Portland is a NEVER-ENDING DISASTER. Many people have been badly hurt, and even killed. It is run like a Third World Country. We're only going in because, as American Patriots, WE HAVE NO CHOICE. LAW AND ORDER MUST PREVAIL IN OUR CITIES, AND EVERYWHERE ELSE!",The Governor of Oregon must be living in a Dream World Portland is a NEVER ENDING DISASTER Many people have been badly hurt and even killed It is run like a Third World Country We're only going in because as American Patriots WE HAVE NO CHOICE LAW AND ORDER MUST PREVAIL IN OUR CITIES AND EVERYWHERE ELSE,-0.7647,0.12,0.201,0.679
1973446639085088971,2025-10-01 17:55:18+00:00,https://x.com/trump_repost/status/1973446639085088971,trump_repost,"The Soybean Farmers of our Country are being hurt because China is, for ""negotiating"" reasons only, not buying. We've made so much money on Tariffs, that we are going to take a small portion of that money, and help our Farmers. I WILL NEVER LET OUR FARMERS DOWN! Sleepy Joe Biden didn't enforce our Agreement with China, where they were going to purchase Billions of Dollars of our Farm Product, but Soybeans, in particular. It's all going to work out very well. I LOVE OUR PATRIOTS, AND EVERY FARMER IS EXACTLY THAT! I'll be meeting with President Xi, of China, in four weeks, and Soybeans will be a major topic of discussion. MAKE SOYBEANS, AND OTHER ROW CROPS, GREAT AGAIN!",The Soybean Farmers of our Country are being hurt because China is for negotiating reasons only not buying We've made so much money on Tariffs that we are going to take a small portion of that money and help our Farmers I WILL NEVER LET OUR FARMERS DOWN Sleepy Joe Biden didn't enforce our Agreement with China where they were going to purchase Billions of Dollars of our Farm Product but Soybeans in particular It's all going to work out very well I LOVE OUR PATRIOTS AND EVERY FARMER IS EXACTLY THAT I'll be meeting with President Xi of China in four weeks and Soybeans will be a major topic of discussion MAKE SOYBEANS AND OTHER ROW CROPS GREAT AGAIN,0.9583,0.143,0.03,0.827
1973450489854632039,2025-10-01 18:10:36+00:00,https://x.com/trump_repost/status/1973450489854632039,trump_repost,"I really believe that Jerome ""Too Late"" Powell is an OBSTRUCTIONIST!",I really believe that Jerome Too Late Powell is an OBSTRUCTIONIST,0.0,0.0,0.0,1.0
1973485923640987895,2025-10-01 20:31:24+00:00,https://x.com/trump_repost/status/1973485923640987895,trump_repost,"Maxine Waters admitted that she is demanding Healthcare for Illegal Aliens, and it's going to be Top of the Line, taking American Taxpayers' Healthcare away from them!",Maxine Waters admitted that she is demanding Healthcare for Illegal Aliens and it's going to be Top of the Line taking American Taxpayers' Healthcare away from them,-0.5106,0.101,0.174,0.726
1973531113424560325,2025-10-01 23:30:58+00:00,https://x.com/trump_repost/status/1973531113424560325,trump_repost,"""Statements of Support for Middle East Peace Deal"" https://t.co/rtY9jMSrMo",Statements of Support for Middle East Peace Deal,0.7351,0.508,0.0,0.492
1973580137976451408,2025-10-02 02:45:46+00:00,https://x.com/trump_repost/status/1973580137976451408,trump_repost,"Republicans must use this opportunity of Democrat forced closure to clear out dead wood, waste, and fraud. Billions of Dollars can be saved. MAKE AMERICA GREAT AGAIN!",Republicans must use this opportunity of Democrat forced closure to clear out dead wood waste and fraud Billions of Dollars can be saved MAKE AMERICA GREAT AGAIN,-0.1071,0.291,0.3,0.41
1973582113841807814,2025-10-02 02:53:37+00:00,https://x.com/trump_repost/status/1973582113841807814,trump_repost,"🔁 🅃 IStandWithTrump47 (@Lara_maga47): Daily reminder, this is not going away! We need accountability! https://t.co/b0fuQbZLuy",IStandWithTrump47 Daily reminder this is not going away We need accountability,0.0,0.0,0.0,1.0
1973582227058683972,2025-10-02 02:54:04+00:00,https://x.com/trump_repost/status/1973582227058683972,trump_repost,"🔁 🅃 kallitout: Jerome Powell, expiration date, May 2026 can't come fast enough. https://t.co/VaWoPrfe49",kallitout Jerome Powell expiration date May 2026 can't come fast enough,0.0,0.0,0.0,1.0
1973582440221516097,2025-10-02 02:54:55+00:00,https://x.com/trump_repost/status/1973582440221516097,trump_repost,🔁 🅃 Qanon76 https://t.co/Hj6VD6UpSC,Qanon76,0.0,0.0,0.0,1.0
1973582535348330819,2025-10-02 02:55:18+00:00,https://x.com/trump_repost/status/1973582535348330819,trump_repost,🔁 🅃 IStandWithTrump47 (@Lara_maga47) https://t.co/OCvmLOKwUS,IStandWithTrump47,0.0,0.0,0.0,1.0
1973582956359983442,2025-10-02 02:56:58+00:00,https://x.com/trump_repost/status/1973582956359983442,trump_repost,🔁 🅃 JMUGA https://t.co/WVtYB5Wpx3,JMUGA,0.0,0.0,0.0,1.0
1973716422787493997,2025-10-02 11:47:19+00:00,https://x.com/trump_repost/status/1973716422787493997,trump_repost,🔁 🅃 Saddleup1966: Now America can see the difference between a DEI hire like Joe Biden and merit base hire like President Trump.,Saddleup1966 Now America can see the difference between a DEI hire like Joe Biden and merit base hire like President Trump,0.7783,0.315,0.0,0.685
1973716801164058786,2025-10-02 11:48:49+00:00,https://x.com/trump_repost/status/1973716801164058786,trump_repost,"🔁 🅃 boothbr: This is why we put him in office. Promises made, promises kept",boothbr This is why we put him in office Promises made promises kept,0.6369,0.321,0.0,0.679
1973717047164178815,2025-10-02 11:49:48+00:00,https://x.com/trump_repost/status/1973717047164178815,trump_repost,RT @trump_repost: 🔁 🅃 JMUGA https://t.co/WVtYB5Wpx3,RT JMUGA,0.0,0.0,0.0,1.0
1973717068890755402,2025-10-02 11:49:53+00:00,https://x.com/trump_repost/status/1973717068890755402,trump_repost,"THE DEMOCRATS WANT TO GIVE YOUR HEALTHCARE MONEY TO ILLEGAL ALIENS AND OPEN OUR BORDERS TO THE CRIMINALS OF THE WORLD, A DEADLY COMBINATION BECAUSE EVERYBODY WILL COME!",THE DEMOCRATS WANT TO GIVE YOUR HEALTHCARE MONEY TO ILLEGAL ALIENS AND OPEN OUR BORDERS TO THE CRIMINALS OF THE WORLD A DEADLY COMBINATION BECAUSE EVERYBODY WILL COME,-0.7906,0.04,0.224,0.736
1973719904718311514,2025-10-02 12:01:09+00:00,https://x.com/trump_repost/status/1973719904718311514,trump_repost,"I have a meeting today with Russ Vought, he of PROJECT 2025 Fame, to determine which of the many Democrat Agencies, most of which are a political SCAM, he recommends to be cut, and whether or not those cuts will be temporary or permanent. I can't believe the Radical Left Democrats gave me this unprecedented opportunity. They are not stupid people, so maybe this is their way of wanting to, quietly and quickly, MAKE AMERICA GREAT AGAIN! President DJT",I have a meeting today with Russ Vought he of PROJECT 2025 Fame to determine which of the many Democrat Agencies most of which are a political SCAM he recommends to be cut and whether or not those cuts will be temporary or permanent I can't believe the Radical Left Democrats gave me this unprecedented opportunity They are not stupid people so maybe this is their way of wanting to quietly and quickly MAKE AMERICA GREAT AGAIN President DJT,0.8613,0.189,0.072,0.739
