event_id,event_day,symbol,car,ar_-1,ar_0,ar_+1,alpha,beta,resid_var,n_est
1972437771345367492,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972437771345367492,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972438442744361169,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972438442744361169,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972439092618301523,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972439092618301523,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972439788717580778,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972439788717580778,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972439982435655917,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972439982435655917,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972440048252674302,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972440048252674302,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972440124911943727,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972440124911943727,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972440187239371163,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972440187239371163,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972440342382399909,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972440342382399909,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972440520099233810,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972440520099233810,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972441434390462801,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972441434390462801,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972478761217184064,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972478761217184064,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972501877691707765,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972501877691707765,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972643974952452464,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972643974952452464,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
1972647932240568557,2025-09-29,TSLA,0.024826480385873272,0.027857574807785765,0.001664876649119412,-0.004695971071031906,-0.0014186469167923018,2.3275374773980704,0.0008568874220121319,100
1972647932240568557,2025-09-29,AAPL,-0.02329625101053564,-0.012870484726296377,-0.006535168088597337,-0.003890598195641924,-0.0014329655432542326,1.4934956364441037,0.0001711209273634079,100
